Latitude,Longitude,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,aod550,duaod550,ssaod550,suaod550,bcaod550,omaod550,tcno2,tcso2,gtco3,tcco,aod550_lag1,duaod550_lag1,ssaod550_lag1,suaod550_lag1,bcaod550_lag1,omaod550_lag1,tcno2_lag1,tcso2_lag1,gtco3_lag1,tcco_lag1,aod550_anom,duaod550_anom,ssaod550_anom,suaod550_anom,bcaod550_anom,omaod550_anom,tcno2_anom,tcso2_anom,gtco3_anom,tcco_anom
-30.160091,27.40124,57.916,167.1,13,0.044458892,0.001925281,0.005034287,0.01749793,0.001906691,0.018094715,4.112017e-06,4.7507533e-06,0.005785409,0.000465838,0.08273743,0.001902179,0.002319309,0.052063305,0.001612863,0.024839796,3.2398043e-06,4.1889284e-06,0.005556517,0.000462048,0.005480208,-0.000620641,0.001425439,0.00314155,2.7607894e-06,0.001531141,2.1104142e-07,1.9484969e-07,0.000150948,-1.57E-05
-32.595833,19.009444,8.621,63.1,19,0.08171201,0.0015611,0.0334835,0.014383584,0.002756951,0.02952673,1.8931935e-06,8.151349e-07,0.006036227,0.000537812,0.06915866,0.001525346,0.021833703,0.013565857,0.002399752,0.029834013,1.8912497e-06,7.2885524e-07,0.005799235,0.000512548,0,0,0,0,0,0,0,0,0,0
-25.99136,27.84208,82.432,283.8,32,0.2530938,0.007385874,0.001190229,0.0546918,0.02622874,0.16359714,6.650748e-06,1.2442304e-05,0.006323648,0.000975008,0.14930692,0.001887761,0.001312668,0.036865883,0.013429289,0.0958115,8.62308e-06,1.4969178e-05,0.005992344,0.00075875,0.07647544,0.002906297,5.6936988e-05,0.006526429,0.011691155,0.055294573,4.6484274e-08,8.6799264e-07,0.000140146,8.568645e-05
-26.73806,27.59194,55.3,189.1,105,0.20649245,0.008713087,0.001192383,0.051503353,0.020066664,0.12501702,7.030122e-06,1.3638928e-05,0.00634302,0.00090279,0.112229556,0.001298758,0.002370753,0.038446896,0.007737369,0.06237591,1.0236741e-05,1.9358411e-05,0.00572215,0.000635001,0.026947886,0.002775718,-1.80E-05,-0.002127487,0.005023384,0.021294326,-1.35E-07,1.6803915e-07,7.448811e-05,-6.99E-07
-26.45,28.085833,105.711,635,80,0.2530938,0.007385874,0.001190229,0.0546918,0.02622874,0.16359714,6.650748e-06,1.2442304e-05,0.006323648,0.000975008,0.14930692,0.001887761,0.001312668,0.036865883,0.013429289,0.0958115,8.62308e-06,1.4969178e-05,0.005992344,0.00075875,0.07647544,0.002906297,5.6936988e-05,0.006526429,0.011691155,0.055294573,4.6484274e-08,8.6799264e-07,0.000140146,8.568645e-05
-30.86013889,29.07125,40.861,95.6,10,0.14026001,0.008564236,0.006962395,0.042287007,0.010505572,0.07194088,2.6749258e-06,3.7753011e-06,0.006515219,0.000769628,0.070482746,0.001602443,0.009547618,0.020608693,0.004753117,0.033970967,2.768269e-06,3.3839665e-06,0.006031678,0.000550389,0.017103821,0.00308045,-0.001570555,0.003787063,0.001821671,0.009985287,8.062557e-08,6.1825585e-07,0.000121037,2.1066924e-05
-27.356667,27.286389,64.1,164,151,0.14168587,0.009146711,0.001213758,0.034227356,0.014248289,0.08284981,3.1786685e-06,4.7736025e-06,0.006366532,0.000832596,0.07548919,0.001803129,0.002465048,0.022834163,0.006072271,0.04231461,5.6961608e-06,8.31253e-06,0.005767791,0.000600625,0,0,0,0,0,0,0,0,0,0
-27.01011111,26.69808333,66.1,203.4,131,0.06787077,0.005010224,0.00073421,0.02546765,0.004280859,0.03237775,3.0555739e-06,3.8148332e-06,0.006207248,0.000735055,0.13440573,0.00531385,0.001330979,0.021976557,0.018041484,0.087742805,3.7312175e-06,5.0736157e-06,0.006187716,0.000845242,-0.007413067,0.000257291,-0.000319266,-0.003455877,0.000141961,-0.004037246,-2.24E-07,-3.78E-07,0.000103031,1.0377204e-05
-25.73411,27.21422,8,34.04,56,0.08714575,0.004362009,0.000913229,0.029452078,0.006678313,0.04574029,2.7100068e-06,3.5681564e-06,0.006172369,0.000802149,0.044347133,0.001387614,0.002179298,0.009492751,0.003366222,0.02792142,3.5799178e-06,4.346001e-06,0.00561642,0.000631901,-0.022133254,0.000230529,-0.001036323,-0.010143861,-0.000614667,-0.010568861,1.1521092e-07,2.905549e-07,5.371915e-05,-1.18E-06
-26.98472222,26.63227778,128,196.7,158,0.06787077,0.005010224,0.00073421,0.02546765,0.004280859,0.03237775,3.0555739e-06,3.8148332e-06,0.006207248,0.000735055,0.17156893,0.009035794,0.001177884,0.03730025,0.018629864,0.10542514,3.913873e-06,6.29562e-06,0.00634258,0.000883512,-0.007413067,0.000257291,-0.000319266,-0.003455877,0.000141961,-0.004037246,-2.24E-07,-3.78E-07,0.000103031,1.0377204e-05
-27.398611,26.614722,71.6,190.6,127,0.05443918,0.005378253,0.000694737,0.020902999,0.003271176,0.024192013,2.619301e-06,3.241215e-06,0.00623638,0.000701923,0.14168587,0.009146711,0.001213758,0.034227356,0.014248289,0.08284981,3.1786685e-06,4.7736025e-06,0.006366532,0.000832596,-0.006906442,0.001315098,-0.000361997,-0.003046168,-0.000194068,-0.004619313,-1.50E-07,-1.35E-07,8.317828e-05,-4.14E-05
-27.671111,27.236944,75.096,275.7,71,0.05443918,0.005378253,0.000694737,0.020902999,0.003271176,0.024192013,2.619301e-06,3.241215e-06,0.00623638,0.000701923,0.060321543,0.003568619,0.001358519,0.013140932,0.006554314,0.035699148,4.3006266e-06,6.112191e-06,0.006021486,0.000642002,-0.00549477,0.000340224,-0.000236039,-0.002127625,-2.53E-05,-0.003446041,-2.27E-07,-3.55E-07,0.000124077,-1.91E-05
-29.160278,26.573333,120.27,177.3,10,0.035835274,0.007266521,0.000744201,0.011046842,0.00219005,0.01458773,2.0497337e-06,2.2514719e-06,0.006302444,0.000632766,0.09793853,0.008800076,0.001344754,0.030502886,0.008422785,0.048867993,2.325498e-06,3.2649164e-06,0.006423865,0.000749358,-0.004731152,0.000971573,-0.000196095,-0.002840932,-2.51E-05,-0.002640547,3.746709e-08,-3.76E-08,8.902326e-05,-4.76E-05
-34.250556,20.9925,26.8,304.5,12,0.066929854,0.001372359,0.02635222,0.013567664,0.003296654,0.022341155,1.2732017e-06,5.782362e-07,0.006660003,0.000611561,,,,,,,,,,,-0.016746052,-0.002250047,0.000736831,-0.002403092,-0.001260518,-0.011568978,5.6111276e-08,-1.01E-08,0.000315217,-2.03E-05
-25.45963889,28.26430556,132,489,82,0.116362385,0.003328658,0.001116469,0.038347334,0.008168059,0.06540219,3.6302008e-06,4.8864035e-06,0.006183934,0.000830484,0.18224436,0.002817794,0.001766115,0.03815413,0.02161431,0.11789179,5.3357826e-06,9.460408e-06,0.006214467,0.000969081,-0.007069252,0.000277075,-0.00060258,-0.006834008,0.000991216,-0.000900716,1.8894752e-09,-1.45E-07,8.42195e-05,2.2009015e-05
-25.81048333,27.90955222,131,584,10,0.17946349,0.002622293,0.000887926,0.101472884,0.005691174,0.068789,5.789478e-06,9.828098e-06,0.005915139,0.000776124,0.2530938,0.007385874,0.001190229,0.0546918,0.02622874,0.16359714,6.650748e-06,1.2442304e-05,0.006323648,0.000975008,0.011673942,0.000972661,-0.000175636,0.004539467,0.000868253,0.005469009,1.12901034e-07,-1.83E-07,5.617086e-05,2.1656975e-05
-27.273889,28.49,49.114,136.6,32,0.14451507,0.002615259,0.00080768,0.086269066,0.004224828,0.050598286,5.096446e-06,7.866134e-06,0.005926615,0.000734035,0.10339875,0.003756299,0.00075414,0.04424274,0.005712654,0.048932984,4.937874e-06,7.897436e-06,0.006214297,0.000750648,0.015777856,0.000522027,0.000146503,0.009554833,0.000509642,0.005044967,1.58484e-08,7.029303e-08,2.8499402e-05,1.2728269e-06
-27.4275,28.525833,62.326,163.9,45,0.110189125,0.003196345,0.000690747,0.068105206,0.00306067,0.0351362,3.1354352e-06,4.400823e-06,0.00592084,0.000690357,0.069314964,0.003994643,0.00076849,0.030105963,0.003807927,0.030637972,3.1161435e-06,4.4475287e-06,0.006223195,0.000695572,0.021939024,0.00058596,0.000127927,0.014285404,0.000550468,0.006389324,-6.80E-08,1.001531e-07,3.3644028e-05,2.0143343e-06
-28.883333,27.89,117.44,271.7,10,0.07200156,0.005851724,0.000455584,0.042737577,0.002094812,0.020861931,1.7428515e-06,2.467732e-06,0.00591613,0.000629052,0.106565624,0.007021363,0.00143066,0.016379166,0.013986703,0.0677477,2.4712535e-06,3.4747839e-06,0.006215476,0.000733869,0.020527232,0.001098046,-9.99E-05,0.013890335,0.000487511,0.005151281,1.06180664e-07,-6.25E-08,7.383013e-05,-1.09E-05
-25.127778,27.628889,128.967,377,163,0.20172808,0.000695688,0.005659047,0.11427962,0.005495249,0.07559844,4.271972e-06,5.620983e-06,0.005794284,0.000659788,,,,,,,,,,,0.030917555,-0.000821659,0.002124862,0.014220849,0.000615036,0.014778469,2.027623e-07,-6.90E-07,7.904647e-05,-2.69E-05
-24.69514,27.40906,125.275,491,158,0.1682665,0.000846875,0.00708527,0.0928935,0.00447005,0.0629708,2.9668472e-06,3.4317106e-06,0.005788873,0.000657513,,,,,,,,,,,0.03515944,-0.000402609,0.001858512,0.017795034,0.00078622,0.015122265,-2.36E-08,-6.04E-07,7.1228016e-05,-1.81E-05
-27.363611,31.783333,69.459,186.9,10,0.16067249,0.001351018,0.013412732,0.08608156,0.004820359,0.055006906,2.0206971e-06,1.2330545e-06,0.005822051,0.000610805,,,,,,,,,,,0.012825593,-0.000714538,0.001120697,0.006658115,-0.000160737,0.005922109,5.68416e-08,-4.40E-07,5.6850724e-05,-9.22E-06
-27.802778,28.768333,43.422,116.9,13,0.16138917,0.000773949,0.003143175,0.10177239,0.00364839,0.052051254,3.1662412e-06,3.4576294e-06,0.005782846,0.000589313,,,,,,,,,,,0.026145607,-0.002189321,0.001025346,0.016921274,0.000426659,0.00996168,2.0222842e-07,-3.92E-07,6.0538296e-05,-8.59E-06
-29.160278,26.573333,110.418,255.6,86,0.101111054,0.001558785,0.001610017,0.05907523,0.002304207,0.036562897,2.4307292e-06,2.8771553e-06,0.005753551,0.000613943,,,,,,,,,,,0.027153753,-0.001471994,0.000390086,0.015863579,0.000618056,0.01175417,5.9071454e-08,-1.87E-07,3.8510654e-05,-5.06E-06
-34.329722,18.990278,9.639,159.1,10,0.07160184,0.003197593,0.01706254,0.019699834,0.003313364,0.028328568,1.2962456e-06,7.892375e-07,0.005795938,0.000570196,,,,,,,,,,,-0.002317064,0.000669901,-0.003182847,0.000840953,-0.000457026,-0.000188058,1.2678095e-07,-7.84E-09,-4.66E-05,2.4221139e-05
-25.20639,27.558,120.441,549,59,0.2934946,0.000775483,0.003213227,0.1864365,0.007196734,0.09587263,4.618777e-06,8.11699e-06,0.005821279,0.000659106,,,,,,,,,,,0.10890409,-0.000454404,0.001611145,0.07297417,0.002267807,0.03250535,3.708501e-07,5.3490203e-07,9.7069424e-05,-1.81E-05
-23.281,30.54305556,179.566,377,10,0.09965374,0.000664626,0.003673416,0.046657242,0.004074574,0.044583853,1.7998354e-06,1.2112189e-06,0.005697198,0.000681497,,,,,,,,,,,-0.03479453,-0.00087722,-0.005928713,-0.016775087,-0.000452706,-0.010760803,-7.73E-08,-6.03E-08,5.276734e-05,-1.20E-05
-28.801278,31.955389,267.057,1405,27,0.19779003,0.002677538,0.009641358,0.1023153,0.007063411,0.07609242,2.1810565e-06,2.1680128e-06,0.005723881,0.000743715,,,,,,,,,,,0.005112097,-0.001465233,-0.00368419,0.010042012,-2.37E-05,0.000243135,8.044026e-08,-1.37E-07,2.1895394e-06,3.4689263e-05
-27.00222,28.76528,77.106,184.2,25,0.26603523,0.000858818,0.001592741,0.16505489,0.005921374,0.09260741,6.0965785e-06,9.335193e-06,0.005660822,0.000700575,0.19891459,0.000634317,0.003777182,0.13043511,0.004222328,0.059845537,5.3466465e-06,7.4362342e-06,0.005789095,0.000603583,0.080373794,-0.000548358,3.4446013e-05,0.050258003,0.001598865,0.029030874,1.8489573e-07,-5.67E-07,2.0072795e-05,4.8044196e-05
-27.02314,28.59389,73.521,195,17,0.26603523,0.000858818,0.001592741,0.16505489,0.005921374,0.09260741,6.0965785e-06,9.335193e-06,0.005660822,0.000700575,0.19891459,0.000634317,0.003777182,0.13043511,0.004222328,0.059845537,5.3466465e-06,7.4362342e-06,0.005789095,0.000603583,0.080373794,-0.000548358,3.4446013e-05,0.050258003,0.001598865,0.029030874,1.8489573e-07,-5.67E-07,2.0072795e-05,4.8044196e-05
-27.3,28.586944,79.329,175.8,18,0.26603523,0.000858818,0.001592741,0.16505489,0.005921374,0.09260741,6.0965785e-06,9.335193e-06,0.005660822,0.000700575,0.19891459,0.000634317,0.003777182,0.13043511,0.004222328,0.059845537,5.3466465e-06,7.4362342e-06,0.005789095,0.000603583,0.078001454,-0.000509456,-5.72E-05,0.0505467,0.001622027,0.026399463,-7.99E-09,-4.87E-08,3.223587e-05,4.3275882e-05
-30.679722,26.7125,110.608,213.21,10,0.14388403,0.004423318,0.001428154,0.09648477,0.002570258,0.03897756,4.4235176e-06,7.1979657e-06,0.005597298,0.000592875,0.093891084,0.00303447,0.001237123,0.06097,0.001702069,0.026947543,4.66415e-06,7.219094e-06,0.005720105,0.000578462,0.055737734,-0.000101841,0.000285606,0.038717397,0.000930882,0.015905684,-1.50E-07,-6.69E-07,-2.51E-05,3.750302e-05
-28.460833,21.248889,83.815,282.2,61,0.0898261,0.011020199,0.001816169,0.04018768,0.002498,0.034304094,1.4866409e-06,6.558214e-07,0.005605892,0.000679629,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
-28.460833,21.248889,75.303,416.5,43.5,0.048433796,0.007406614,0.003642096,0.015542153,0.001698428,0.020144366,1.4047288e-06,6.491188e-07,0.005573369,0.00053928,0.0898261,0.011020199,0.001816169,0.04018768,0.002498,0.034304094,1.4866409e-06,6.558214e-07,0.005605892,0.000679629,0,0,0,0,0,0,0,0,0,0
-29.140556,31.391944,52.323,410,11,0.14947353,0.001761346,0.026333429,0.042026866,0.007839117,0.07151263,3.373052e-06,3.968113e-06,0.006007489,0.000707529,,,,,,,,,,,-0.006322935,-0.000443624,0.004738934,-0.002957806,-0.001202829,-0.006457694,-4.40E-07,-1.36E-06,-6.96E-05,-2.25E-05
-25.99136,27.84208,98.8,368,15,0.15738632,0.001276533,0.002248992,0.046975747,0.011539575,0.09534535,1.0950363e-05,1.9152549e-05,0.005691852,0.000708159,0.13212831,0.001297524,0.002137162,0.049686987,0.005279272,0.073727325,6.0151087e-06,1.030271e-05,0.005515958,0.000590361,-0.00191839,-0.000200833,0.000466043,0.000748687,0.001352379,-0.004284695,1.3858744e-06,2.5680692e-06,0.000139049,-3.34E-05
-24.058889,31.237222,95.677,371,10,0.10285707,0.00085775,0.012580403,0.031394564,0.008139307,0.049884997,2.6763792e-06,3.5039834e-06,0.005754458,0.000709048,0.08521642,0.000915008,0.005609039,0.03005891,0.006456278,0.042177234,3.899139e-06,6.325334e-06,0.005662311,0.000727966,-0.017980002,-0.000650869,0.001971856,-0.008115299,-0.000641284,-0.010544382,8.892766e-08,-3.00E-07,0.000251253,-3.51E-05
-26.73806,27.59194,58.238,193.4,81,0.112229556,0.001298758,0.002370753,0.038446896,0.007737369,0.06237591,1.0236741e-05,1.9358411e-05,0.00572215,0.000635001,0.07146616,0.00140592,0.002567287,0.022287574,0.004211535,0.04099385,7.389964e-06,1.2276156e-05,0.005654133,0.000587715,-0.005531833,-0.00050772,0.000595367,-0.00303746,0.000742751,-0.003324784,5.5148666e-07,1.5816022e-06,8.128444e-05,-3.06E-05
-30.86013889,29.07125,45.978,119.3,10,0.070482746,0.001602443,0.009547618,0.020608693,0.004753117,0.033970967,2.768269e-06,3.3839665e-06,0.006031678,0.000550389,,,,,,,,,,,-0.030510403,-0.001902335,0.002116609,-0.009505274,-0.001864838,-0.019354414,-3.30E-07,-5.79E-07,0.000185775,-4.69E-05
-27.356667,27.286389,93.012,203.7,100,0.07548919,0.001803129,0.002465048,0.022834163,0.006072271,0.04231461,5.6961608e-06,8.31253e-06,0.005767791,0.000600625,0.09244521,0.001952929,0.002570051,0.04963063,0.002267307,0.036024332,3.3537212e-06,3.920631e-06,0.005549227,0.000552784,0,0,0,0,0,0,0,0,0,0
-28.058889,30.373611,71,290,100,0.10303752,0.001199374,0.008815863,0.030262444,0.00720444,0.055555418,4.035377e-06,4.3770146e-06,0.00587376,0.000636821,0.1633228,0.001159106,0.007594313,0.087575845,0.005704473,0.061289057,2.5453182e-06,1.8951721e-06,0.005813986,0.000608167,-0.02345714,-0.000644382,0.002230253,-0.012045797,-0.000895097,-0.012102105,-7.51E-07,-2.32E-06,6.8569556e-05,-4.03E-05
-27.01011111,26.69808333,101.723,207.1,15,0.06649791,0.002648502,0.001214626,0.014371328,0.007196729,0.04106683,5.214388e-06,7.702388e-06,0.006003458,0.000664586,0.0928549,0.001690439,0.002303478,0.028951462,0.00700957,0.052899964,7.920013e-06,1.2106283e-05,0.005725313,0.000639109,-0.036156155,-0.00218297,-0.000830542,-0.010068059,-0.002297653,-0.020776868,4.866006e-07,1.1991724e-06,6.748643e-05,-2.56E-05
-27.169444,29.233889,101.294,225.9,10,0.1357577,0.001633904,0.002186472,0.067156754,0.008495537,0.056285147,1.1658843e-05,2.2767303e-05,0.005995524,0.000665808,0.09446263,0.000970735,0.002743975,0.038766686,0.006764024,0.04521703,9.099281e-06,1.7645607e-05,0.005721699,0.000575694,-0.024574474,-0.001156292,0.000132482,-0.004964367,-0.00172137,-0.016864818,2.3409302e-07,-7.88E-07,0.000121975,-3.91E-05
