Latitude,Longitude,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,sw_layer1,sw_layer2,sw_layer3,sw_layer4,sw_total,sw_surface_ratio
-27.00222,28.76528,34.855,114.5,150,0.30208135,0.31020066,0.31016713,0.2852478,1.2076969,0.2501299
-27.02314,28.59389,41.408,148.8,152,0.25084233,0.2743425,0.2815798,0.25341034,1.060175,0.23660445
-30.679722,26.7125,55.297,138.3,44,0.3459046,0.3549089,0.35576802,0.205719,1.2623005,0.27402693
-30.160091,27.40124,57.916,167.1,13,0.36528325,0.3700075,0.37345296,0.29097748,1.3997211,0.26096842
-32.595833,19.009444,8.621,63.1,19,0.36754918,0.36135575,0.23337728,0.2004013,1.1626835,0.3161212
-25.99136,27.84208,82.432,283.8,32,0.1961609,0.17348032,0.16167012,0.16845703,0.69976836,0.2803222
-26.73806,27.59194,55.3,189.1,105,0.20048676,0.16611795,0.17133656,0.17987823,0.7178195,0.2792993
-26.45,28.085833,105.711,635,80,0.19638978,0.16261606,0.17246571,0.18600464,0.7174762,0.27372268
-30.86013889,29.07125,40.861,95.6,10,0.20757447,0.23546152,0.23176137,0.19213104,0.8669284,0.23943642
-27.356667,27.286389,64.1,164,151,0.25566253,0.26843578,0.2623476,0.25928497,1.0457308,0.24448194
-27.01011111,26.69808333,66.1,203.4,131,0.15744935,0.15606081,0.15523396,0.15265656,0.6214007,0.2533777
-25.73411,27.21422,8,34.04,56,0.19481812,0.17351687,0.1537386,0.15876007,0.6808337,0.286146
-26.98472222,26.63227778,128,196.7,158,0.15744935,0.15606081,0.15523396,0.15265656,0.6214007,0.2533777
-27.398611,26.614722,71.6,190.6,127,0.14222108,0.15442812,0.15411244,0.15167236,0.60243404,0.23607703
-27.671111,27.236944,75.096,275.7,71,0.2439972,0.27892458,0.28076804,0.27415466,1.0778445,0.22637494
-29.160278,26.573333,120.27,177.3,10,0.10576783,0.1364075,0.17300282,0.14915466,0.56433284,0.18742067
-34.250556,20.9925,26.8,304.5,12,0.115548715,0.090142846,0.12633382,0.09667969,0.42870507,0.26952899
-25.45963889,28.26430556,132,489,82,0.19071351,0.20147097,0.17410146,0.17233276,0.73861873,0.25820255
-25.81048333,27.90955222,131,584,10,0.28574064,0.2624771,0.15980397,0.15834808,0.86636984,0.3298133
-27.273889,28.49,49.114,136.6,32,0.3696182,0.35172576,0.28410208,0.29088593,1.296332,0.28512597
-27.4275,28.525833,62.326,163.9,45,0.37489775,0.35010833,0.28484976,0.297081,1.3069369,0.28685203
-28.883333,27.89,117.44,271.7,10,0.28883818,0.26363677,0.19714223,0.26989746,1.0195147,0.28330922
-25.127778,27.628889,128.967,377,163,0.33751804,0.30918425,0.1870732,0.15465546,0.988431,0.34146816
-24.69514,27.40906,125.275,491,158,0.3490842,0.33881682,0.22380874,0.15916443,1.0708742,0.32598028
-27.363611,31.783333,69.459,186.9,10,0.37619907,0.36516112,0.26840255,0.22865295,1.2384157,0.30377424
-27.802778,28.768333,43.422,116.9,13,0.44988376,0.45250243,0.37678573,0.30612183,1.5852938,0.28378555
-29.160278,26.573333,110.418,255.6,86,0.3330167,0.3341934,0.22794387,0.13663483,1.0317888,0.32275635
-34.329722,18.990278,9.639,159.1,10,0.1377805,0.1507675,0.20027205,0.2545395,0.74335957,0.18534814
-25.20639,27.558,120.441,549,59,0.17994522,0.20624244,0.19615652,0.154068,0.73641217,0.2443536
-23.281,30.54305556,179.566,377,10,0.13928993,0.17619188,0.25010082,0.17556763,0.74115026,0.18793724
-28.801278,31.955389,267.057,1405,27,0.103828505,0.1306444,0.16313335,0.08205414,0.4796604,0.21646208
-27.00222,28.76528,77.106,184.2,25,0.34562692,0.34470996,0.3361375,0.28551483,1.3119892,0.26343712
-27.02314,28.59389,73.521,195,17,0.3010331,0.30438098,0.3037431,0.2533493,1.1625065,0.25895157
-27.3,28.586944,79.329,175.8,18,0.34191903,0.3204027,0.33959362,0.29484558,1.2967609,0.2636714
-30.679722,26.7125,110.608,213.21,10,0.31589517,0.32035694,0.3164613,0.16931152,1.1220249,0.28154
-28.460833,21.248889,83.815,282.2,61,0.117179945,0.21011217,0.1755006,0.0971756,0.5999683,0.19530989
-28.460833,21.248889,75.303,416.5,43.5,0.08976129,0.19298418,0.17635663,0.097351074,0.55645317,0.16130939
-29.140556,31.391944,52.323,410,11,0.17854044,0.16443953,0.15356924,0.102767944,0.59931713,0.29790595
-25.99136,27.84208,98.8,368,15,0.15631601,0.18334517,0.1937914,0.16963959,0.70309216,0.22232617
-24.058889,31.237222,95.677,371,10,0.11264535,0.14728102,0.15318014,0.15124512,0.5643516,0.199601
-26.73806,27.59194,58.238,193.4,81,0.18272898,0.19817671,0.22494985,0.18133545,0.787191,0.23212759
-30.86013889,29.07125,45.978,119.3,10,0.26523325,0.28072676,0.26844501,0.19171906,1.006124,0.2636186
-27.356667,27.286389,93.012,203.7,100,0.24139139,0.29449782,0.27520466,0.25945282,1.0705466,0.22548404
-28.058889,30.373611,71,290,100,0.15987894,0.18239912,0.20450307,0.1624527,0.7092338,0.22542454
-27.01011111,26.69808333,101.723,207.1,15,0.12402952,0.1645204,0.17681447,0.1529007,0.61826503,0.20060866
-27.169444,29.233889,101.294,225.9,10,0.36817777,0.361313,0.3035845,0.30107117,1.3341464,0.27596486
-26.98472222,26.63227778,206.521,612,158,0.12402952,0.1645204,0.17681447,0.1529007,0.61826503,0.20060866
-27.398611,26.614722,92.527,237.8,53,0.11997831,0.16411604,0.16839924,0.15185547,0.604349,0.19852453
-27.573056,24.746389,113.181,304.7,10,0.118017554,0.16493239,0.1822466,0.15363312,0.6188296,0.19071059
-33.501667,21.624167,178.546,896,24,0.2813629,0.28089917,0.22170582,0.143013,0.92698085,0.30352578
-32.502778,19.535833,27.104,168.6,10,0.07879484,0.18263258,0.14655629,0.08141327,0.48939696,0.1610036
-25.45963889,28.26430556,118.92,530,82,0.16821134,0.17794813,0.1884264,0.17266846,0.7072543,0.23783681
-26.970278,27.211111,68.54,209,90,0.14126587,0.15393686,0.16910878,0.15830994,0.6226214,0.2268885
-27.273889,28.49,82.521,189.8,31,0.2508011,0.29201365,0.29454365,0.29242706,1.1297854,0.22198983
-28.69485,28.23487,140.367,276.7,10,0.13301086,0.1979127,0.26110402,0.25348663,0.8455142,0.15731339
-28.883333,27.89,121.513,242.8,10,0.13237762,0.20474863,0.27510396,0.2894287,0.9016589,0.14681548
-27.02314,28.59389,132.58,353,25,0.2464615,0.2460206,0.2529787,0.25228882,0.9977496,0.24701713
-30.679722,26.7125,97.433,207.4,10,0.14648591,0.19318704,0.2297701,0.21891022,0.78835326,0.18581228
-30.534167,24.961944,60.941,152.6,10,0.13144074,0.15452127,0.19227162,0.1543045,0.63253814,0.20779859
-34.031944,22.053333,12.53,263.7,10,0.18264161,0.18492441,0.23458424,0.16654968,0.76869994,0.23759773
-34.039722,22.133333,5,396,10,,,,,,
-32.595833,19.009444,10.526,84.8,10,0.19154511,0.20407419,0.25402394,0.21130371,0.86094695,0.22248164
-28.801278,31.955389,116.762,515,14,0.17678224,0.17255557,0.13623677,0.08406067,0.5696353,0.3103423
-29.658056,25.973333,101.804,213.9,147,0.054635633,0.15626681,0.21638356,0.17210388,0.5993899,0.091151915
-28.068333,31.55,56.453,190.7,10,0.36474,0.34468997,0.2694689,0.26513672,1.2440356,0.29319075
-24.183889,30.823889,104.189,323.4,10,0.26775485,0.22134703,0.16744277,0.1513443,0.807889,0.3314249
-27.398611,26.614722,84.527,214.3,125,0.28931552,0.2760498,0.17658278,0.15183258,0.8937807,0.3236982
-27.671111,27.236944,78.935,187.5,32,0.4149869,0.42058867,0.33807418,0.27401733,1.4476671,0.28665888
-29.160278,26.573333,106.253,255.6,153,0.3330167,0.3341934,0.22794387,0.13663483,1.0317888,0.32275635
-27.495556,26.074722,127.973,320.4,77,0.2871335,0.2880203,0.17177626,0.15261078,0.8995409,0.3191997
-23.658056,31.05,59.599,194.7,10,0.15387557,0.20618904,0.21489431,0.15251923,0.72747815,0.21151888
-26.648056,27.089444,236.859,543,10,0.2945616,0.27029884,0.23686697,0.15932465,0.96105206,0.30649877
-27.802778,28.768333,68.43,160.2,10,0.38865492,0.36979377,0.38823417,0.30700684,1.4536897,0.26735738
-24.679167,30.8025,57.373,160.4,10,0.2594758,0.26221332,0.2777879,0.24184418,1.0413212,0.24917918
-27.273889,28.49,84.444,179,10,0.34151468,0.32357654,0.3384187,0.29332733,1.2968372,0.2633441
-27.3,28.586944,82.83,189.3,10,0.34191903,0.3204027,0.33959362,0.29484558,1.2967609,0.2636714
-30.679722,26.7125,63.386,157.2,10,0.31589517,0.32035694,0.3164613,0.16931152,1.1220249,0.28154
-27.02314,28.59389,124.63,276.5,10,0.3564315,0.34535083,0.29283458,0.25336456,1.2479815,0.28560618
-25.99136,27.84208,107.506,322.4,64,0.15631601,0.18334517,0.1937914,0.16963959,0.70309216,0.22232617
-31.554722,29.245556,101.407,264,10,0.29090616,0.29573378,0.30317402,0.22541809,1.115232,0.2608479
-27.01011111,26.69808333,114.749,437,82,0.12402952,0.1645204,0.17681447,0.1529007,0.61826503,0.20060866
-27.802778,28.768333,86.425,268.9,10,0.36498868,0.35113537,0.30826893,0.30554962,1.3299426,0.27443925
-26.98472222,26.63227778,199.821,189.1,135,0.12402952,0.1645204,0.17681447,0.1529007,0.61826503,0.20060866
-27.398611,26.614722,116.258,279.3,155,0.11997831,0.16411604,0.16839924,0.15185547,0.604349,0.19852453
-27.671111,27.236944,84.322,192.2,20,0.22796476,0.28956616,0.29231587,0.27429962,1.0841464,0.21027102
-29.160278,26.573333,144.754,367,153,0.14885557,0.20788588,0.25355855,0.14975739,0.76005733,0.19584756
-31.396,29.2651,35.368,104.3,29,0.2916702,0.30433667,0.3081011,0.20489502,1.109003,0.26300195
-25.45963889,28.26430556,184.911,719,82,0.16821134,0.17794813,0.1884264,0.17266846,0.7072543,0.23783681
-25.81048333,27.90955222,142.762,831,10,0.13610077,0.15131235,0.16061726,0.1593628,0.60739315,0.22407323
-22.225556,29.990556,110.7905,449.5,13.5,0.11009979,0.1413331,0.1512331,0.15154266,0.55420864,0.19866091
-26.03611,30.99778,69.18,164.2,10,0.25743103,0.26665354,0.27343312,0.3170929,1.1146106,0.23096032
-28.404444,30.013056,49.642,187.6,10,0.11689758,0.17475748,0.18659535,0.16529846,0.64354885,0.18164495
-29.380556,30.2775,54.37,217.5,33,0.29071808,0.2838502,0.31180134,0.29252625,1.1788958,0.2466018
-26.648056,27.089444,246.879,572,10,0.13642883,0.15307474,0.17829457,0.1607666,0.6285647,0.21704784
-26.970278,27.211111,82.122,519,186,0.14126587,0.15393686,0.16910878,0.15830994,0.6226214,0.2268885
-27.273889,28.49,103.523,253.4,11,0.2508011,0.29201365,0.29454365,0.29242706,1.1297854,0.22198983
-27.3,28.586944,98.6015,264.3,23,0.25350952,0.2939744,0.29483357,0.2938614,1.1361789,0.22312447
-27.044444,27.005,93.589,218.3,34,0.13330841,0.15370035,0.16675892,0.15429688,0.60806453,0.21923362
-28.69485,28.23487,191.289,373,10,0.13301086,0.1979127,0.26110402,0.25348663,0.8455142,0.15731339
-28.883333,27.89,111.763,250.5,157,0.13237762,0.20474863,0.27510396,0.2894287,0.9016589,0.14681548
-30.568333,29.422778,52.601,136.8,16,0.22999573,0.2532792,0.29244557,0.24526978,1.0209903,0.2252671
-30.570833,29.150556,41.496,113.2,13,0.186409,0.23912668,0.27642384,0.21126556,0.91322505,0.20412141
-34.329722,18.990278,5,120.2,10,0.28580475,0.2974229,0.30645314,0.25828552,1.1479663,0.24896595
-30.830556,26.921389,106.852,229,10,0.15495454,0.20749216,0.23541585,0.21418,0.81204253,0.19082047
-25.49037,30.6986,70.544,269.1,10,0.31450042,0.29516917,0.25206318,0.32590485,1.1876376,0.26481158
-29.380556,30.2775,29.113,79.4,10,0.31842956,0.3111146,0.29885426,0.289711,1.2181094,0.26141274
-30.86013889,29.07125,44.145,95.7,15,0.20757447,0.23546152,0.23176137,0.19213104,0.8669284,0.23943642
-30.77586667,29.03221667,58.928,146.2,10,0.25184783,0.28919536,0.29268208,0.25379944,1.0875247,0.23157877
-29.658056,25.973333,63.467,139,36,0.054635633,0.15626681,0.21638356,0.17210388,0.5993899,0.091151915
-30.534167,24.961944,153.728,365,123,0.12664185,0.15052187,0.17663442,0.15426636,0.60806453,0.20827007
-31.031389,28.883333,31.844,91.2,14,0.2773987,0.23425448,0.21864949,0.21420288,0.9445056,0.29369694
-34.039722,22.133333,23.261,238.2,10,,,,,,
-22.769722,30.886944,36.174,108.2,10,0.36158115,0.35014647,0.28197524,0.15686035,1.1505632,0.3142642
-27.802778,28.768333,93.753,239.9,10,0.44988376,0.45250243,0.37678573,0.30612183,1.5852938,0.28378555
-27.5275,30.858056,24.289,83.7,10,0.24916671,0.26450813,0.33202842,0.260437,1.1061403,0.2252576
-25.99136,27.84208,96.656,355,84,0.31462243,0.2841936,0.20038922,0.16957855,0.9687838,0.32475987
-25.513889,31.224444,37.665,159.6,10,0.24559167,0.22009142,0.18507703,0.16666412,0.81742424,0.3004454
-25.398889,31.610556,80.896,240.7,10,0.21762231,0.19920214,0.16573651,0.15392303,0.736484,0.29548776
-24.183889,30.823889,89.789,318.9,39,0.13269103,0.17639486,0.15583363,0.1512146,0.61613417,0.21536025
-23.281,30.54305556,182.77,413,10,0.15407622,0.16665213,0.19421712,0.17382812,0.68877363,0.22369613
-25.362222,31.956667,80.966,253.4,10,0.16414702,0.22221701,0.21289387,0.21077728,0.8100352,0.20264158
-29.380556,30.2775,22.119,72.3,10,0.34264433,0.34353203,0.33565083,0.2937088,1.315536,0.26045966
-27.398611,26.614722,120.52,409,93,0.19447386,0.2166857,0.1675066,0.15180969,0.7304759,0.26622862
-25.45963889,28.26430556,164.447,616,82,0.2212683,0.25718254,0.20740071,0.17263031,0.8584819,0.2577434
-25.81048333,27.90955222,110.416,512,10,0.20233464,0.20531937,0.18050557,0.15982819,0.74798775,0.27050492
-23.658056,31.05,46.72,164.9,10,0.117892504,0.14976212,0.15680104,0.15239716,0.5768528,0.20437154
-24.058889,31.237222,82.768,360,165,0.11340642,0.15031907,0.15416127,0.15126038,0.5691471,0.19925642
-24.034167,31.123611,193.964,834,158,0.11330724,0.1507692,0.1539324,0.15128326,0.56929207,0.19903147
-24.99328,30.81444,39.911,134,15,0.37436986,0.3865175,0.4184435,0.4702072,1.649538,0.22695424
-25.14944444,31.94055556,33.47,122.6,10,0.16570592,0.20355698,0.20704824,0.20271301,0.7790241,0.21270934
-27.937778,31.209444,69.532,303.5,10,0.22957921,0.25224015,0.27051717,0.23612976,0.98846626,0.23225777
-28.404444,30.013056,51.232,219.2,10,0.1568253,0.18090531,0.21181661,0.16693878,0.716486,0.21888088
-26.880278,26.965,248.154,637,176,0.23828435,0.24300095,0.18808919,0.15582275,0.8251972,0.28876013
-31.000833,26.353056,97.607,449,10,0.33162236,0.33891007,0.31994802,0.15444183,1.1449223,0.28964594
-24.679167,30.8025,27.25,77.5,10,0.17546579,0.19745955,0.23943807,0.23616028,0.8485237,0.20678926
-24.99328,30.81444,34.546,86.1,10,0.3684971,0.35899672,0.3956728,0.46194458,1.5851111,0.23247385
-27.02314,28.59389,129.847,382,60.5,0.227689,0.25837263,0.2754717,0.2533188,1.014852,0.22435662
-28.760833,17.730278,75.716,197.6,33,0.002870182,0.03408365,0.10671559,0.08960724,0.23327667,0.012303714
-26.73806,27.59194,108.158,610,41,0.20048676,0.16611795,0.17133656,0.17987823,0.7178195,0.2792993
-25.49037,30.6986,64.148,274.6,10,0.32470095,0.30510104,0.251845,0.3179779,1.1996249,0.2706685
-29.987778,29.851667,42.337,100.1,10,0.39983523,0.36160433,0.33977377,0.332016,1.4332293,0.27897486
-29.744167,29.905833,23.858,61.5,10,0.3418213,0.3114487,0.3106295,0.33156586,1.2954654,0.26385966
-26.861111,28.884722,110.466,411,142,0.27294314,0.31508029,0.27929556,0.27633667,1.1436557,0.2386583
-26.970278,27.211111,101.219,578,106,0.19568788,0.16497195,0.15482198,0.15779114,0.67327297,0.29065117
-26.45,28.085833,106.19,662,80,0.20632325,0.17823946,0.16135274,0.18471527,0.73063076,0.2823902
-31.396,29.2651,59.69,132.5,10,0.31875002,0.28340304,0.22731648,0.20475006,1.0342196,0.30820313
-31.554722,29.245556,70.466,186.9,10,0.333902,0.30915987,0.24524556,0.22771454,1.116022,0.29918918
-27.356667,27.286389,82.396,259,138,0.2448517,0.26485598,0.25968802,0.25917053,1.0285662,0.23805124
-25.447222,30.711667,52.194,113.4,10,0.32470095,0.30510104,0.251845,0.3179779,1.1996249,0.2706685
-27.01011111,26.69808333,114.66,631,161,0.23219755,0.18966217,0.15351735,0.152565,0.7279421,0.3189776
-25.127778,27.628889,154.323,481,163,0.27751616,0.2448227,0.1575533,0.15400696,0.83389914,0.33279303
-25.20639,27.558,115.481,586,10,0.27174833,0.2456009,0.15858327,0.15351105,0.8294436,0.32762688
-24.69514,27.40906,131.008,584,10,0.2272537,0.20585175,0.16055165,0.1595993,0.75325644,0.3016946
-25.73411,27.21422,5,35,10,0.29866484,0.26963347,0.1601244,0.15847778,0.88690054,0.33675084
-26.006389,29.253889,86.873,749,10,0.27193144,0.24610443,0.18517934,0.20283508,0.9060503,0.30012807
-26.03611,30.99778,73.784,157.1,10,0.37215117,0.35003203,0.26599753,0.3106842,1.298865,0.2865201
-28.801278,31.955389,126.526,505,10,0.15469816,0.17133637,0.14441548,0.083602905,0.55405295,0.27921137
-30.733889,29.828333,14.407,90.1,10,0.3745468,0.37665862,0.35770285,0.26932526,1.3782336,0.2717584
-27.169444,29.233889,150.698,360,15,0.38596037,0.3565933,0.2868868,0.29866028,1.3281008,0.29061055
-27.802778,28.768333,64.568,175,10,0.3789566,0.3509323,0.28525412,0.3024063,1.3175493,0.2876221
-26.98472222,26.63227778,188.676,473,193,0.23219755,0.18966217,0.15351735,0.152565,0.7279421,0.3189776
-27.398611,26.614722,105.583,272.8,80,0.23354033,0.20693512,0.15388356,0.1516037,0.74596274,0.31307194
-29.160278,26.573333,101.593,222.9,10,0.22934416,0.20908661,0.1609255,0.1483841,0.7477404,0.30671588
-30.568333,29.422778,51.913,126,10,0.36616972,0.36374968,0.30447257,0.24129486,1.2756869,0.2870371
-30.570833,29.150556,60.729,137.2,10,0.35312346,0.3437149,0.24436055,0.20839691,1.1495959,0.30717158
-33.501667,21.624167,152.334,530,42,0.15697172,0.14599152,0.1640688,0.1437912,0.6108233,0.25698343
-27.495556,26.074722,195.576,498,131,0.23982695,0.2215683,0.15562306,0.15219116,0.7692095,0.31178325
-25.57877778,29.12747222,57.867,372,10,0.29700163,0.28678435,0.1937624,0.1852417,0.96279013,0.30847982
-25.99136,27.84208,109.206,386,135,0.27968428,0.26671302,0.2351122,0.16976166,0.9512712,0.2940108
-29.380556,30.2775,23.136,71.9,10,0.31239328,0.3042589,0.3154237,0.29405975,1.2261356,0.25477853
-26.45,28.085833,113.891,670,80,0.2800294,0.27229175,0.25296947,0.1862793,0.9915699,0.28240985
-27.902778,24.615556,217.678,1165,10,0.19142158,0.20091875,0.20208904,0.15251923,0.7469486,0.25627106
-25.45963889,28.26430556,175.734,609,82,0.23032387,0.20797594,0.18248913,0.17263794,0.7934269,0.2902896
-25.57877778,29.12747222,61.891,360,10,0.2217942,0.22402819,0.23555157,0.19226074,0.8736347,0.25387493
-25.81048333,27.90955222,142.582,902,10,0.29911187,0.26724872,0.17449506,0.15991211,0.90076774,0.3320629
-26.006389,29.253889,106.94,760,10,0.35517266,0.34561023,0.2530473,0.20572662,1.1595569,0.3063001
-28.404444,30.013056,68.404,193.1,10,0.2910705,0.28736743,0.22941144,0.16722107,0.9750704,0.29851198
-27.802778,28.768333,84.289,217,10,0.42078546,0.38504657,0.32397777,0.3062973,1.4361072,0.29300404
-27.356667,27.286389,51.404,189.4,93,0.37323907,0.33333454,0.27767497,0.25946808,1.2437167,0.30009952
-27.937778,31.209444,71.692,292.8,118,0.2833029,0.2920794,0.2881197,0.23661041,1.1001124,0.25752154
-27.5275,30.858056,42.297,102.9,10,0.24093688,0.25050682,0.25059834,0.25585175,0.9978938,0.24144515
-27.3,28.586944,84.704,230.2,30,0.34664214,0.34672874,0.31718007,0.29452515,1.3050761,0.26561046
-27.398611,26.614722,88.084,279.3,80,0.19447386,0.2166857,0.1675066,0.15180969,0.7304759,0.26622862
-27.00222,28.76528,174.386,395,10,0.30208135,0.31020066,0.31016713,0.2852478,1.2076969,0.2501299
-27.02314,28.59389,170.527,415,10,0.25084233,0.2743425,0.2815798,0.25341034,1.060175,0.23660445
-26.648056,27.089444,260.292,624,10,0.23060155,0.24061295,0.219446,0.16065216,0.85131264,0.2708773
-26.970278,27.211111,150.638,664,48,0.2348206,0.23889634,0.18983632,0.15840149,0.8219547,0.2856852
-28.760833,17.730278,102.913,258.1,10,0.034780856,0.03529371,0.10697499,0.08960724,0.2666568,0.13043255
-29.7775,29.470833,21.902,62.3,10,0.31903076,0.32396555,0.3389391,0.392807,1.3747424,0.23206569
-29.744167,29.905833,32.037,77,10,0.28601074,0.3183427,0.36853352,0.3359146,1.3088015,0.21852857
-26.861111,28.884722,168.883,608,178,0.19987488,0.2857728,0.29230824,0.27739716,1.055353,0.18939131
-26.970278,27.211111,122.781,586,48,0.14126587,0.15393686,0.16910878,0.15830994,0.6226214,0.2268885
-31.104278,29.399722,59.565,138.7,10,0.1667862,0.19896555,0.23549977,0.16136932,0.7626208,0.21870105
-25.127778,27.628889,149.728,511,163,0.17603455,0.16012125,0.15505543,0.15435791,0.64556915,0.27268076
-25.20639,27.558,132.346,676,22,0.16388093,0.15971689,0.1555132,0.15383148,0.6329425,0.25891873
-24.69514,27.40906,159.552,660,138,0.1592804,0.16058664,0.16669026,0.16022491,0.6467822,0.24626552
-24.058889,31.237222,96.35,361,10,0.14647828,0.15126352,0.151256,0.1511612,0.600159,0.24406539
-24.034167,31.123611,147.94,516,158,0.14904176,0.15121774,0.15121022,0.15117645,0.6026462,0.2473118
-28.747778,31.745833,79.182,306.9,10,0.24289857,0.20904092,0.17538777,0.13800812,0.7653354,0.3173749
-30.733889,29.828333,25.057,78.5,10,0.2645279,0.24592142,0.25430623,0.26610565,1.0308611,0.25660843
-26.98472222,26.63227778,205.753,539,193,0.15213929,0.15163736,0.16028157,0.15277863,0.61683685,0.24664389
-27.398611,26.614722,107.711,323.4,10,0.14192353,0.15074472,0.15751973,0.15175629,0.60194427,0.2357748
-29.160278,26.573333,146.902,388,10,0.12392578,0.14929514,0.19749776,0.1499939,0.6207126,0.19965051
-31.396,29.2651,29.089,115.5,10,0.24772035,0.24112253,0.23933735,0.20579529,0.9339755,0.26523188
-33.501667,21.624167,195.856,652,17,0.1530243,0.15880899,0.19673482,0.14379883,0.65236694,0.23456748
-32.502778,19.535833,15.048,134.7,10,0.01927338,0.1465867,0.1462206,0.081588745,0.39366943,0.04895816
-31.5653,18.3306,63.944,990,26,0.0619751,0.06204538,0.065936476,0.059722897,0.24967986,0.24821725
-27.495556,26.074722,178.092,477,61,0.12574159,0.14934854,0.16085377,0.15244293,0.58838683,0.21370527
-24.183889,30.823889,88.531,308.3,11,0.1853119,0.17981112,0.15127431,0.1510849,0.66748226,0.27762777
-28.801278,31.955389,88.994,362,10,0.17678224,0.17255557,0.13623677,0.08406067,0.5696353,0.3103423
-30.398056,30.601944,32.773,173.25,10,0.33959353,0.30993044,0.22730123,0.17714691,1.0539721,0.32220322
-30.27402,30.69602,123.874,550,36,0.35442507,0.33477175,0.25759757,0.20072937,1.1475238,0.3088605
-27.00222,28.76528,158.124,388,10,0.28342593,0.30167544,0.27796042,0.28373718,1.146799,0.24714506
-27.02314,28.59389,164.391,399,10,0.22350465,0.2540909,0.24718343,0.2516327,0.9764117,0.22890387
-27.273889,28.49,58.342,156.3,10,0.29192507,0.29516757,0.28289664,0.2914505,1.1614398,0.25134736
-27.4275,28.525833,50.695,122.9,23,0.30549014,0.29956973,0.28367484,0.29789734,1.186632,0.2574428
-27.044444,27.005,94.276,238,10,0.17637025,0.15701449,0.15473805,0.15403748,0.6421603,0.274651
-30.568333,29.422778,94.721,184.5,10,0.288736,0.25750124,0.24605428,0.24091339,1.0332049,0.2794564
-30.570833,29.150556,52.047,119.6,10,0.23893128,0.2220093,0.22522603,0.20935822,0.89552486,0.26680556
-32.595833,19.009444,12.063,78.6,10,0.1732422,0.17567599,0.22156392,0.21044159,0.7809237,0.22184238
-29.140556,31.391944,56.422,236.6,10,0.20695952,0.19951935,0.17986928,0.1056366,0.6919848,0.29908058
-29.641944,30.6875,63.452,306.7,44,0.40414885,0.39226836,0.36844504,0.26789093,1.4327532,0.2820783
-24.679167,30.8025,53.14,149.7,10,0.30714872,0.29630584,0.21349965,0.22436523,1.0413195,0.29496083
-30.830556,26.921389,123.096,244.3,10,0.2821701,0.2559921,0.19261037,0.20620728,0.9369799,0.30114818
-30.13573889,30.67422222,30.539,93.4,10,0.3228958,0.31647795,0.30179465,0.18357849,1.1247469,0.28708282
-26.73806,27.59194,112.323,684,41,0.29716948,0.26911467,0.16365682,0.17801666,0.9079577,0.32729405
-31.000833,26.353056,220.497,496,10,0.21230009,0.19590302,0.16963826,0.16266632,0.7405077,0.2866949
